Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CH 632,Solid State Chemistry and Applications,3,0,0,4,Sudhanshu Sharma(I),,,,"L1,L2
 (7/201)",,,,,,,BS
CH 638,Electronic Structure Theory,3,0,0,4,Anirban Mondal(I),,,,"L1,L2
 (7/204)",,,,,,,BS
CH 639,Advanced Main Group Chemistry,3,0,0,4,Priyabrata Ghana(I),,,,"M1,M2
 (7/106)",,,,,,,BS
,,,,,,,,,,,,,,,,,
Additional Courses: Mathematics,,,,,,,,,,,,,,,,,
MA 502,Complex Analysis,3,1.5,0,4,Sanjay Amrutiya(I+T),,,,"G1,G2
(1/101)","A1
 (7/203)",,Course Plan,,,,BS
MA 507,Ordinary Differential Equations,3,1.5,0,4,Bipul Saurabh(I+T),,,,"E1,E2
 (1/101)","B1
 (10/102)",,,,,,BS
MA 602,Applied Vector Calculus and Differential Equations,3,1.5,0,4,Madhu Gupta(I+T),,,,"J1,J2
 (7/201)","A2
 (7/101)",,,,,,BS
MA 606,Differential Topology,3,0,0,4,Arnab Saha(I),,,,"L1,L2
 (7/105)",,,Course Plan,,,,BS
MA 629 (A),Real Analysis of Several Variables,3,1.5,0,4,Prof. Gadadhar Misra(I+T),,,,"I1,I2
 (7/207)","L2
 (7/207)",,,,,,BS
MA 637,Numerical Analysis,3,1.5,0,4,Abhinav Jha(I+T),,,,"D1,D2
 (7/208)","H1
 (10/105)",,Course Plan,,,,BS
MA 623,Number Theory,3,0,0,4,Akshaa Vatwani(I),,,,"C1,C2
 (7/104)",,,,,,,BS
MA 625,Stochastic Differential Equations,3,0,0,4,Chetan Pahlajani(I),,,,"K1,K2
 (7/105)",,,,,,,BS
MA 628,Algebra II,3,1.5,0,4,Indranath Sengupta(I+T),,,,"M1,M2
(7/203)","L1
 (7/207)",,,,,,BS
MA 631,Special Functions,3,1.5,0,4,Atul Dixit(I+T),,,,"P1,P2
 (7/104)","J1
 (7/103)",,,,,,BS
MA 641,Nonlinear Functional Analysis,3,0,0,4,Jagmohan Tyagi(I),,,,"K1,K2
 (7/207)",,,,,,,BS
MA 691-V,Special Topics in Mathematics: Commutative Algebra II,3,1.5,0,4,J.K. Verma(I+T),,,,"B1,B2
 (7/106)","J1
(7/104)",,,,,,
MA 691-VI,Special Topics in Mathematics: Algebraic Geometry: An Introduction,3,0,0,4,"Indranath Sengupta(I), J.K. Verma(I), Sanjay Amrutiya(I), Arnab Saha(I)",,,,"I1,I2
(7/104)",,,,,,,
MA 692-V,Special Topics in Mathematics: Machine Learning Methods for Partial Differential Equations,3,0,0,1,Abhinav Jha(I),,,,"F1,F2
(7/202)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Physics,,,,,,,,,,,,,,,,,
PH 504,Quantum Mechanics II,3,1,0,4,Baradhwaj Coleppa(I+T),,,,"G1,G2
 (1/102)","A1
 (7/107)",,,,,,BS
PH 506,Methods of Experimental Physics,1,0,3,4,Krishnakanti Dey(I+L),,,,"C1
 (7/202)",,"I1,K1
(PH Lab)",,,,,BS
PH 507,Statistical Mechanics,3,1,0,4,Prasanna Venkatesh(I+T),,,,"E1,E2
 (7/209)","K2
 (7/209)",,Course Plan,,,,BS
PH 509,Computational Physics,3,0,0,4,Anand Sengupta(I),,,,"D1,D2
 (11/101)",,,,"Quantum Mechanics - 1, Classical Electrodynamics and Statistical/Thermal physics course.","Should have UG level grasp of Quantum Mechanics, Classical Electrodynamics and Statistical/Thermal physics.",,BS
PH 607,Topics in Quantum and Statistical Mechanics,3,0,0,4,Vinod Chandra(I),,,,"L1,L2
 (7/205)",,,,,,,BS
PH 608,Tools of Theoretical Physics,3,0,0,4,Arpan Bhattacharyya(I),,,,"N1,N2
 (7/105)",,,,,,,BS
PH 612,Quantum Field Theory II,3,0,0,4,Rusa Mandal(I),,,,"F1,F2
 (7/206)",,,,,,,BS
PH 615,Physics of Two-dimensional Materials,3,0,0,4,Gopinadhan Kalon(I),,,,"M1,M2
 (7/207)",,,PH615-Course Plan,,,,BS
PH 616,Quantum Optics,3,0,0,4,Ravinder Puri(I),,,,"B1,B2
 (7/207)",,,,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,Ravinder Puri(I),,,,"P1,P2
 (7/201)",,,,,,,BS
PH 644,Tools of Experimental Physics,3,0,0,4,Rupak Banerjee(I),,,,"F1,F2
 (10/102)",,,,,,,BS
PH 649,Advanced General relativity,3,0,0,4,Sudipta Sarkar(I),,,,"M1,M2
(7/206)",,,,,,,
PH 650,Group Theory For Physics,3,0,0,4,Urjit Yajnik(I),,,,"J1,J2
(7/105)",,,,,,,
