Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
FP 501,Aarohan (For 2025 MSc and MA students),0,0,0,2,"Projesh Nath Choudhury(I), Malay Dhamelia(I), Manisha Samanta(I) and Manisha Padala(I)",,,,,,,,,,,
FP 601,"Aarohan (For 2025 MTech, PGDIIT and PhD students)",0,0,0,2,"Projesh Nath Choudhury(I), Malay Dhamelia(I), Manisha Samanta(I) and Manisha Padala(I)",,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2025 MSc and MA students),0,0,0,0,,,47,,,,,,,,,
PE 600,"Physical Education (For 2025 MTech, PGDIIT and PhD students)",0,0,0,0,,,144,,,,,,,,,
Additional courses BE,,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Mukesh Dhanka(I),,40,,"M1,M2
 (7/101)",,,https://docs.google.com/document/d/1paSa1KlOzWpMSFdFKxhG83N64Q12IMfR/edit?usp=sharing&ouid=107984983868149659120&rtpof=true&sd=true,,,,BS
BE 404,Genetic Engineering – Principles and Applications,3,0,0,4,Sharmistha Majumdar(I),,44,,"J1,J2
 (7/102)",,,,,,,
BE 613,Biochemistry,3,0,0,4,Dhiraj Bhatia(I),,21,,"G1,G2
 (Surendra C Sheth Learning Theatre)",,,BE 613 course plan,,,,BS
BE 614,Biostatistics,1.5,0,3,4,Ashutosh Srivastava(I+L),,75,,"E1
 (7/208)",,"I1,K1
(10/203)",BE 614 course plan,,,,BS
BE 616,Human Physiology,3,0,0,4,Karla P. Mercado-Shekhar(I),,37,,"C1,C2
 (7/201)",,,BE 616 course plan,,,,BS
BE 618,Molecular Biotechnology,1.5,0,3,4,Subramanian Sankaranarayanan(I+L),,40,,"E2
 (7/103)",,"J1,L1
(BE Lab)",BE 618 course plan,,,,
,,,,,,,,,,,,,,,,,
